"","V1","Subject","Age","Handedness","Sex","Condition","Cond_order","Dailyusage","Socialapps","Vision","date","set_size","correct_answer","response_time","response_timed_out","target_present","pressed_key"
"17",17,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.382477047752268,FALSE,FALSE,"m"
"18",18,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.206127274664032,FALSE,FALSE,"m"
"19",19,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,0,0.234337539314786,FALSE,FALSE,"m"
"20",20,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.120160767423382,FALSE,TRUE,"x"
"21",21,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.258202283400651,FALSE,TRUE,"x"
"22",22,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.216029362508615,FALSE,TRUE,"x"
"23",23,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.191648142617906,FALSE,FALSE,"m"
"24",24,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.293874732955866,FALSE,FALSE,"m"
"25",25,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.101959447680282,FALSE,TRUE,"x"
"26",26,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.17987605616958,FALSE,FALSE,"m"
"27",27,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,0,0.104524017193987,FALSE,TRUE,"x"
"28",28,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.177667676866112,FALSE,TRUE,"x"
"29",29,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.17319748972764,FALSE,FALSE,"m"
"30",30,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.246341149399766,FALSE,FALSE,"m"
"31",31,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.127480476243748,FALSE,TRUE,"x"
"32",32,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.186198432401283,FALSE,TRUE,"m"
"33",33,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,0,0.241087343798773,FALSE,FALSE,"m"
"34",34,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.294604922886851,FALSE,TRUE,"x"
"35",35,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.104773350341153,FALSE,TRUE,"x"
"36",36,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.176955296445639,FALSE,FALSE,"m"
"37",37,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.151915124665992,FALSE,TRUE,"x"
"38",38,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,0,0.107498205449464,FALSE,TRUE,"x"
"39",39,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.096402880400588,FALSE,TRUE,"x"
"40",40,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.199395279690557,FALSE,TRUE,"m"
"41",41,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.149493031236382,FALSE,FALSE,"m"
"42",42,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.42140863773115,FALSE,FALSE,"m"
"43",43,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.1550852175371,FALSE,TRUE,"x"
"44",44,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,0,0.108762680695805,FALSE,TRUE,"x"
"45",45,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.327481279291707,FALSE,FALSE,"m"
"46",46,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,0,0.276563888738358,FALSE,FALSE,"m"
"47",47,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.302637012127691,FALSE,TRUE,"x"
"48",48,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.240321534846764,FALSE,FALSE,"m"
"49",49,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.163313211393569,FALSE,TRUE,"x"
"50",50,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,0,0.187730050305302,FALSE,TRUE,"x"
"51",51,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,0,0.287605785255698,FALSE,TRUE,"x"
"52",52,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.278968172657456,FALSE,FALSE,"m"
"53",53,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,0,0.174853774205242,FALSE,TRUE,"x"
"54",54,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.240196868273181,FALSE,FALSE,"m"
"55",55,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.402851127777813,FALSE,FALSE,"m"
"56",56,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.262102566202744,FALSE,FALSE,"x"
"57",57,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.27077579782201,FALSE,FALSE,"m"
"58",58,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.257365236406595,FALSE,FALSE,"m"
"59",59,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.223135357202839,FALSE,FALSE,"m"
"60",60,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.149243698089216,FALSE,TRUE,"x"
"61",61,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.177774533929183,FALSE,TRUE,"x"
"62",62,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.124167907288546,FALSE,TRUE,"x"
"63",63,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,0,0.125147430366697,FALSE,TRUE,"x"
"64",64,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.224132689791502,FALSE,FALSE,"m"
"65",65,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,0,0.176314154067212,FALSE,TRUE,"x"
"66",66,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.0964919279531472,FALSE,TRUE,"x"
"67",67,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.169795873219879,FALSE,TRUE,"x"
"68",68,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.358861636813569,FALSE,FALSE,"m"
"69",69,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.101799162085675,FALSE,TRUE,"x"
"70",70,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.179413008896273,FALSE,FALSE,"m"
"71",71,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.329066325727261,FALSE,TRUE,"x"
"72",72,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,0,0.295833779112168,FALSE,FALSE,"m"
"73",73,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.278736649020802,FALSE,FALSE,"m"
"74",74,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,0,0.290811497147829,FALSE,FALSE,"m"
"75",75,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.199698041369258,FALSE,TRUE,"x"
"76",76,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.258113235848092,FALSE,TRUE,"x"
"77",77,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,0,0.414676642757674,FALSE,TRUE,"x"
"78",78,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.361461825348297,FALSE,FALSE,"m"
"79",79,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.196367662903544,FALSE,TRUE,"x"
"80",80,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.217596599433657,FALSE,FALSE,"m"
"81",81,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.336350415526603,FALSE,FALSE,"m"
"82",82,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.459930608968259,FALSE,FALSE,"m"
"83",83,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.166162733075464,FALSE,TRUE,"x"
"84",84,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.233286778194587,FALSE,FALSE,"m"
"85",85,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,0,0.116492008257943,FALSE,TRUE,"x"
"86",86,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",12,1,0.389333709299326,FALSE,FALSE,"m"
"87",87,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.15576197893655,FALSE,FALSE,"m"
"88",88,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",6,1,0.161496641321362,FALSE,FALSE,"m"
"89",89,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.22808640112513,FALSE,FALSE,"m"
"90",90,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.275388461044576,FALSE,FALSE,"m"
"91",91,"08a2d8ee",31,"R","Male","Phone present","1st","more than 3 hours",">3","Corrected vision","2021-08-23_21h22.34.214",18,1,0.18325986316683,FALSE,TRUE,"m"
"92",92,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",NA,1,NA,NA,NA,""
"93",93,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,0,0.238309060158926,FALSE,TRUE,"m"
"94",94,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,0,0.218451455938225,FALSE,FALSE,"m"
"95",95,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.112271154266637,FALSE,TRUE,"x"
"96",96,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,1,0.253785524793715,FALSE,FALSE,"m"
"97",97,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,0,0.27455141405052,FALSE,FALSE,"m"
"98",98,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,0,0.173161870706617,FALSE,FALSE,"m"
"99",99,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.225913640842686,FALSE,FALSE,"m"
"100",100,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,1,0.173411203853783,FALSE,FALSE,"m"
"101",101,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,0,0.171131586508267,FALSE,TRUE,"x"
"102",102,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.232111350500806,FALSE,TRUE,"x"
"103",103,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.257970759763997,FALSE,TRUE,"x"
"104",104,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.347374502533432,FALSE,FALSE,"m"
"105",105,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,1,0.143188464515191,FALSE,TRUE,"x"
"106",106,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,0,0.400179701201037,FALSE,TRUE,"m"
"107",107,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.246109625763112,FALSE,FALSE,"m"
"108",108,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.314462527107553,FALSE,FALSE,"m"
"109",109,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.411773692544244,FALSE,TRUE,"m"
"110",110,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.328532040411906,FALSE,FALSE,"m"
"111",111,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,0,0.206198512706079,FALSE,FALSE,"m"
"112",112,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.198825375354178,FALSE,TRUE,"x"
"113",113,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,1,0.319324523477285,FALSE,FALSE,"m"
"114",114,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.371257056129809,FALSE,FALSE,"m"
"115",115,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.361996110663653,FALSE,FALSE,"m"
"116",116,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,1,0.144239225635389,FALSE,TRUE,"x"
"117",117,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,1,0.196723853113781,FALSE,FALSE,"m"
"118",118,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,1,0.155922264531156,FALSE,TRUE,"x"
"119",119,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.462886987713224,FALSE,TRUE,"x"
"120",120,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,0,0.152395981449812,FALSE,TRUE,"x"
"121",121,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.403901888898011,FALSE,FALSE,"m"
"122",122,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,1,0.199840517453353,FALSE,FALSE,"m"
"123",123,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.216545838313458,FALSE,TRUE,"x"
"124",124,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.563599769657677,FALSE,TRUE,"x"
"125",125,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.317507953405077,FALSE,FALSE,"m"
"126",126,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,0,0.335513368532547,FALSE,FALSE,"m"
"127",127,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.307908627239196,FALSE,FALSE,"m"
"128",128,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.211505746838608,FALSE,TRUE,"x"
"129",129,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.380054954322658,FALSE,FALSE,"m"
"130",130,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,1,0.12614476295536,FALSE,TRUE,"x"
"131",131,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.213820983205147,FALSE,TRUE,"x"
"132",132,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,0,0.123259622252442,FALSE,TRUE,"x"
"133",133,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,1,0.129314855826468,FALSE,TRUE,"x"
"134",134,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.41822073534953,FALSE,FALSE,"m"
"135",135,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.402957984840884,FALSE,FALSE,"m"
"136",136,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.106233730203123,FALSE,TRUE,"x"
"137",137,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.37359010200686,FALSE,FALSE,"m"
"138",138,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,1,0.2474453390515,FALSE,FALSE,"m"
"139",139,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.246483625483861,FALSE,FALSE,"m"
"140",140,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.295887207643704,FALSE,TRUE,"x"
"141",141,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.373803816133002,FALSE,FALSE,"m"
"142",142,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.276011793912491,FALSE,TRUE,"x"
"143",143,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.343420791199804,FALSE,TRUE,"x"
"144",144,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.542495499701147,FALSE,FALSE,"m"
"145",145,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.148175127458506,FALSE,TRUE,"x"
"146",146,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.398131607492175,FALSE,FALSE,"m"
"147",147,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.332414513703487,FALSE,FALSE,"m"
"148",148,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,0,0.105681635377256,FALSE,TRUE,"x"
"149",149,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.293518542745629,FALSE,TRUE,"m"
"150",150,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.412094263733457,FALSE,FALSE,"m"
"151",151,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",12,1,0.189617858419557,FALSE,TRUE,"x"
"152",152,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,1,0.164648924681957,FALSE,TRUE,"x"
"153",153,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",6,1,0.153179599912333,FALSE,TRUE,"x"
"154",154,"08a2d8ee",31,"R","Male","Phone absent","2nd","more than 3 hours",">3","Corrected vision","2021-08-23_21h28.33.881",18,1,0.25471161934033,FALSE,TRUE,"x"
